run_id,label,seg,proj,N,lb_p,rho_with_cos_step
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-13033,1,reason_sent,cos_step,200,0.0006070614058443819,
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-13033,1,reason_sent,cos_task,200,0.15431967153562604,0.19541863375735008
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-13033,1,reason_sent,pca1,200,6.24537590382182e-05,-0.28616426784811616
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-13033,1,reason_sent,norm,200,0.00023065125131723423,0.9999984772288613
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-13236,1,reason_sent,cos_step,200,0.0009896866738873693,
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-13236,1,reason_sent,cos_task,200,0.015061428439083913,0.08468594818606912
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-13236,1,reason_sent,pca1,200,0.009649567574980734,-0.2787422090463383
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-13236,1,reason_sent,norm,200,7.297165019274264e-05,1.0
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-13453,1,reason_sent,cos_step,200,0.8862271723354982,
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-13453,1,reason_sent,cos_task,200,0.003356079135453749,0.2799047926727334
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-13453,1,reason_sent,pca1,200,0.0053232874389827186,-0.27619822096859264
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-13453,1,reason_sent,norm,200,0.8018304808422274,1.0
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-13579,1,reason_sent,cos_step,200,0.2943169515256152,
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-13579,1,reason_sent,cos_task,200,0.8596758769113076,0.24590734352236684
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-13579,1,reason_sent,pca1,200,0.000884402369315617,-0.1221557360391659
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-13579,1,reason_sent,norm,200,0.24908954655965398,1.0
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-13977,1,reason_sent,cos_step,200,0.022523605010090653,
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-13977,1,reason_sent,cos_task,200,0.36480309736213246,0.5068358963423931
