run_id,label,seg,proj,N,lb_p,rho_with_cos_step
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11292,0,reason_sent,cos_step,200,0.0013652053799621889,
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11292,0,reason_sent,cos_task,200,0.00042267546971868665,0.26434337297178584
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11292,0,reason_sent,pca1,200,0.004367246804117886,-0.2021259424062334
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11292,0,reason_sent,norm,200,0.0034320567859654483,1.0
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12419,0,reason_sent,cos_step,200,6.905768645005719e-06,
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12419,0,reason_sent,cos_task,200,0.12300544922591482,0.17466914425956284
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12419,0,reason_sent,pca1,200,0.6939127134124627,-0.2426132074364037
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12419,0,reason_sent,norm,200,8.802715573158623e-05,0.9999954316518005
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13658,0,reason_sent,cos_step,200,0.003424077405899928,
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13658,0,reason_sent,cos_task,200,0.02042182278097531,0.2555500351522791
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13658,0,reason_sent,pca1,200,0.805941013035072,-0.26357892515220643
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13658,0,reason_sent,norm,200,0.0036985399089302213,0.9999908627957408
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13925,1,reason_sent,cos_step,200,0.002588629341483981,
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13925,1,reason_sent,cos_task,200,0.02764515312496282,0.36276049369767954
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13925,1,reason_sent,pca1,200,0.4876926333064904,-0.38279710871578887
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13925,1,reason_sent,norm,200,0.006106209673191381,1.0
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13964,1,reason_sent,cos_step,200,2.5778713147585496e-05,
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13964,1,reason_sent,cos_task,200,0.0001507064353838369,0.3650829303094609
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13964,1,reason_sent,pca1,200,0.15113000217031783,-0.31850886864269395
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13964,1,reason_sent,norm,200,0.00015141421914684992,1.0
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14725,1,reason_sent,cos_step,200,0.0405500988027687,
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14725,1,reason_sent,cos_task,200,0.039809555931423636,0.37488046292066396
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14725,1,reason_sent,pca1,200,0.0013103635239339368,-0.3038099588853358
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14725,1,reason_sent,norm,200,0.09240511636698484,1.0
20250726_mini-v1.0.0_gemini-2.5-pro/matplotlib__matplotlib-23412,0,reason_sent,cos_step,200,0.0010137154880105119,
