run_id,task_id,model_id,family,label,seg_len_steps,seg_len_sent,H_seg,C_seg,H_full,C_full,agent_id,exit_status,n_steps,n_edits,no_edit,seg_empty,has_any_verification,n_verifications,verif_after_last_edit,n_verif_after_last_edit,verified_before_first_edit,n_steps_after_last_edit,share_edit,share_verify,share_other,n_transitions,phase_bigram_entropy,share_before_first_edit,repeat_ratio,distinct_cmd_ratio,nonzero_rc_share,n_files_edited,n_file_switches,agent_version,H_full_cos_step,C_full_cos_step
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-12907,astropy__astropy-12907,gemini-2.5-pro,google,0,2,10,,,,,mini-swe-agent-1.0.0,Submitted,5,2,False,False,0,0,0,0,0,2,0.4,0.0,0.6,2,0.6309297535714575,0.2,0.0,1.0,0.0,2,1,v1.x,,
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-13033,astropy__astropy-13033,gemini-2.5-pro,google,1,3,30,,,0.9644626181257636,0.0507167128193135,mini-swe-agent-1.0.0,Submitted,13,3,False,False,0,0,0,0,0,3,0.23076923076923078,0.0,0.7692307692307693,4,0.5091620344707997,0.3076923076923077,0.0,0.9230769230769231,0.0,3,2,v1.x,0.9644626181257636,0.0507167128193135
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-14096,astropy__astropy-14096,gemini-2.5-pro,google,0,2,18,,,0.9495907277909612,0.0739378586968113,mini-swe-agent-1.0.0,Submitted,46,17,False,False,0,0,0,0,0,2,0.3695652173913043,0.0,0.6304347826086957,30,0.5595712838942188,0.021739130434782608,0.0,0.6956521739130435,0.21951219512195122,5,7,v1.x,0.9495907277909612,0.0739378586968113
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-14508,astropy__astropy-14508,gemini-2.5-pro,google,0,3,16,,,0.9878258311069268,0.0159327156181872,mini-swe-agent-1.0.0,Submitted,20,5,False,False,0,0,0,0,0,3,0.25,0.0,0.75,10,0.48086837153952267,0.05,0.0,0.7,0.0,3,4,v1.x,0.9878258311069268,0.0159327156181872
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-14539,astropy__astropy-14539,gemini-2.5-pro,google,0,2,9,,,,,mini-swe-agent-1.0.0,Submitted,8,2,False,False,0,0,0,0,0,2,0.25,0.0,0.75,4,0.4910705164174376,0.25,0.0,0.875,0.14285714285714285,2,1,v1.x,,
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-14995,astropy__astropy-14995,gemini-2.5-pro,google,0,3,11,,,0.9816621747639313,0.0234471605440685,mini-swe-agent-1.0.0,Submitted,24,2,False,False,1,1,1,1,0,3,0.08333333333333333,0.041666666666666664,0.875,5,0.3700989352864585,0.7083333333333334,0.0,1.0,0.08695652173913043,2,1,v1.x,0.9816621747639313,0.0234471605440685
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-7166,astropy__astropy-7166,gemini-2.5-pro,google,0,3,17,,,,,mini-swe-agent-1.0.0,Submitted,16,4,False,False,1,2,0,0,0,3,0.25,0.125,0.625,9,0.7221768425018112,0.3125,0.0,0.875,0.0,2,1,v1.x,,
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-7336,astropy__astropy-7336,gemini-2.5-pro,google,0,3,18,,,,,mini-swe-agent-1.0.0,Submitted,11,2,False,False,0,0,0,0,0,3,0.18181818181818182,0.0,0.8181818181818182,4,0.43248676035896366,0.36363636363636365,0.0,0.7272727272727273,0.1111111111111111,2,1,v1.x,,
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-7606,astropy__astropy-7606,gemini-2.5-pro,google,1,5,24,,,,,mini-swe-agent-1.0.0,Submitted,11,2,False,False,0,0,0,0,0,5,0.18181818181818182,0.0,0.8181818181818182,2,0.4280163249381945,0.36363636363636365,0.0,1.0,0.0,2,1,v1.x,,
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-8872,astropy__astropy-8872,gemini-2.5-pro,google,1,4,16,,,0.9502886970807588,0.0634657335397389,mini-swe-agent-1.0.0,Submitted,33,9,False,False,0,0,0,0,0,4,0.2727272727272727,0.0,0.7272727272727273,18,0.4893489302058261,0.12121212121212122,0.0,0.6060606060606061,0.1111111111111111,2,1,v1.x,0.9502886970807588,0.0634657335397389
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-10097,django__django-10097,gemini-2.5-pro,google,1,3,24,,,0.9789874728159316,0.0276576044049193,mini-swe-agent-1.0.0,Submitted,8,1,False,False,0,0,0,0,0,3,0.125,0.0,0.875,2,0.36241704575288,0.5,0.0,0.875,0.16666666666666666,1,0,v1.x,0.9789874728159316,0.0276576044049193
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-10554,django__django-10554,gemini-2.5-pro,google,1,2,14,,,0.991904056383348,0.0108083461665781,mini-swe-agent-1.0.0,Submitted,28,1,False,False,0,0,0,0,0,2,0.03571428571428571,0.0,0.9642857142857143,2,0.14354303637228966,0.8928571428571429,0.0,0.8928571428571429,0.041666666666666664,1,0,v1.x,0.991904056383348,0.0108083461665781
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-10880,django__django-10880,gemini-2.5-pro,google,0,2,15,,,,,mini-swe-agent-1.0.0,Submitted,10,1,False,False,0,0,0,0,0,2,0.1,0.0,0.9,2,0.3111829864372247,0.7,0.0,0.8,0.0,1,0,v1.x,,
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11163,django__django-11163,gemini-2.5-pro,google,0,2,14,,,,,mini-swe-agent-1.0.0,Submitted,10,3,False,False,0,0,0,0,0,2,0.3,0.0,0.7,6,0.5,0.3,0.0,0.8,0.2222222222222222,2,1,v1.x,,
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11179,django__django-11179,gemini-2.5-pro,google,0,2,19,,,,,mini-swe-agent-1.0.0,Submitted,5,1,False,False,0,0,0,0,0,2,0.2,0.0,0.8,2,0.4731973151785931,0.4,0.0,1.0,0.0,1,0,v1.x,,
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11211,django__django-11211,gemini-2.5-pro,google,1,2,10,,,0.976057076642701,0.034560530774932,mini-swe-agent-1.0.0,Submitted,19,1,False,False,0,0,0,0,0,2,0.05263157894736842,0.0,0.9473684210526315,2,0.19381198154758217,0.8421052631578947,0.0,0.9473684210526315,0.23529411764705882,1,0,v1.x,0.976057076642701,0.034560530774932
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11265,django__django-11265,gemini-2.5-pro,google,1,2,20,,,,,mini-swe-agent-1.0.0,Submitted,13,2,False,False,0,0,0,0,0,2,0.15384615384615385,0.0,0.8461538461538461,4,0.39484504107142376,0.6153846153846154,0.0,0.8461538461538461,0.0,1,0,v1.x,,
