seg,proj,d,N,population,n,frac_seen_median,auroc_base,auroc_chaos,auroc_full
all_sent,cos_step,3,50,все допустимые при N,7973,0.0748502994011976,0.546417914410692,0.5253919297813858,0.5504042721142388
all_sent,cos_step,3,50,фиксированная (≥400 фрагм.),6373,0.06305170239596469,0.5402931344458053,0.5248718200654429,0.5419921947345134
all_sent,cos_step,3,100,все допустимые при N,7927,0.1488095238095238,0.5201027117067435,0.5215958815007951,0.5292251008145373
all_sent,cos_step,3,100,фиксированная (≥400 фрагм.),6373,0.12610340479192939,0.5302307842175882,0.5229149375510989,0.5352959456249262
all_sent,cos_step,3,200,все допустимые при N,7722,0.29175799621204057,0.5214876147952918,0.5196050705474662,0.5293667266706887
all_sent,cos_step,3,200,фиксированная (≥400 фрагм.),6373,0.25220680958385877,0.5342266997646736,0.525109118970646,0.5384083969935181
all_sent,cos_step,3,400,все допустимые при N,6373,0.5044136191677175,0.5398505176902205,0.5271357327224399,0.5421954019997476
all_sent,cos_step,3,400,фиксированная (≥400 фрагм.),6373,0.5044136191677175,0.5398505176902205,0.5271357327224399,0.5421954019997476
all_sent,cos_step,4,50,все допустимые при N,7973,0.0748502994011976,0.546417914410692,0.5214666972301393,0.5479287636354094
all_sent,cos_step,4,50,фиксированная (≥400 фрагм.),6373,0.06305170239596469,0.5402931344458053,0.5224675094406084,0.5400890327145242
all_sent,cos_step,4,100,все допустимые при N,7927,0.1488095238095238,0.5201027117067435,0.5188641303304956,0.5268888636545691
all_sent,cos_step,4,100,фиксированная (≥400 фрагм.),6373,0.12610340479192939,0.5302307842175882,0.5203178882175935,0.5317193525208915
all_sent,cos_step,4,200,все допустимые при N,7722,0.29175799621204057,0.5214876147952918,0.5164472532525141,0.5257272494920825
all_sent,cos_step,4,200,фиксированная (≥400 фрагм.),6373,0.25220680958385877,0.5342266997646736,0.520761303433289,0.5341913817668711
all_sent,cos_step,4,400,все допустимые при N,6373,0.5044136191677175,0.5398505176902205,0.5273477398110733,0.5380943479030439
all_sent,cos_step,4,400,фиксированная (≥400 фрагм.),6373,0.5044136191677175,0.5398505176902205,0.5273477398110733,0.5380943479030439
all_sent,cos_task,3,50,все допустимые при N,7973,0.0748502994011976,0.546417914410692,0.5028509647215683,0.5443701475535835
all_sent,cos_task,3,50,фиксированная (≥400 фрагм.),6373,0.06305170239596469,0.5402931344458053,0.4992881465884018,0.5374232548291868
all_sent,cos_task,3,100,все допустимые при N,7927,0.1488095238095238,0.5201027117067435,0.5244953370362204,0.5317031920145426
all_sent,cos_task,3,100,фиксированная (≥400 фрагм.),6373,0.12610340479192939,0.5302307842175882,0.5240272857840569,0.5360543105854141
all_sent,cos_task,3,200,все допустимые при N,7722,0.29175799621204057,0.5214876147952918,0.5187067217881809,0.526177911104322
all_sent,cos_task,3,200,фиксированная (≥400 фрагм.),6373,0.25220680958385877,0.5342266997646736,0.523033215039626,0.5410248788202209
all_sent,cos_task,3,400,все допустимые при N,6373,0.5044136191677175,0.5398505176902205,0.528048653102836,0.5445601935019124
all_sent,cos_task,3,400,фиксированная (≥400 фрагм.),6373,0.5044136191677175,0.5398505176902205,0.528048653102836,0.5445601935019124
all_sent,cos_task,4,50,все допустимые при N,7973,0.0748502994011976,0.546417914410692,0.5088876802599642,0.5444309179922945
all_sent,cos_task,4,50,фиксированная (≥400 фрагм.),6373,0.06305170239596469,0.5402931344458053,0.5102188290231299,0.5376505385722841
all_sent,cos_task,4,100,все допустимые при N,7927,0.1488095238095238,0.5201027117067435,0.5221275031505195,0.5287581354958233
all_sent,cos_task,4,100,фиксированная (≥400 фрагм.),6373,0.12610340479192939,0.5302307842175882,0.5237761353684488,0.5383158153538863
all_sent,cos_task,4,200,все допустимые при N,7722,0.29175799621204057,0.5214876147952918,0.5235712085600034,0.5292656151886876
all_sent,cos_task,4,200,фиксированная (≥400 фрагм.),6373,0.25220680958385877,0.5342266997646736,0.5272188650612372,0.5452354551593889
all_sent,cos_task,4,400,все допустимые при N,6373,0.5044136191677175,0.5398505176902205,0.5224942577044382,0.5372480370301087
all_sent,cos_task,4,400,фиксированная (≥400 фрагм.),6373,0.5044136191677175,0.5398505176902205,0.5224942577044382,0.5372480370301087
all_sent,norm,3,50,все допустимые при N,7973,0.0748502994011976,0.546417914410692,0.5253644298045221,0.550412813484955
all_sent,norm,3,50,фиксированная (≥400 фрагм.),6373,0.06305170239596469,0.5402931344458053,0.5248514832134039,0.541992871253704
