run_id,task_id,label,stage,reason
20250726_mini-v1.0.0_gemini-2.5-pro/sphinx-doc__sphinx-7748,sphinx-doc__sphinx-7748,,E0,missing_report
20250726_mini-v1.0.0_gemini-2.5-pro/sphinx-doc__sphinx-8120,sphinx-doc__sphinx-8120,,E0,missing_report
20250822_mini-v1.9.1_glm-4.5/sphinx-doc__sphinx-8593,sphinx-doc__sphinx-8593,,E0,missing_report
20250822_mini-v1.9.1_glm-4.5/sphinx-doc__sphinx-9698,sphinx-doc__sphinx-9698,,E0,missing_report
20250929_mini-v1.13.3_sonnet-4-5-20250929/django__django-11734,django__django-11734,,E0,missing_report
20251124_mini-v1.17.0_minimax-m2/sympy__sympy-19637,sympy__sympy-19637,,E0,missing_report
20251201_mini-v1.17.1_glm-4.6/sphinx-doc__sphinx-10449,sphinx-doc__sphinx-10449,,E0,missing_report
20251201_mini-v1.17.1_glm-4.6/sphinx-doc__sphinx-9320,sphinx-doc__sphinx-9320,1,E0,infra_error:APIError
20260217_mini-v2.0.0_gemini-3-flash-high/django__django-15629,django__django-15629,1,E0,infra_error:ServiceUnavailableError
20260217_mini-v2.0.0_gemini-3-flash-high/django__django-15731,django__django-15731,1,E0,infra_error:ServiceUnavailableError
20260217_mini-v2.0.0_gemini-3-flash-high/django__django-15732,django__django-15732,1,E0,infra_error:ServiceUnavailableError
20260217_mini-v2.0.0_gemini-3-flash-high/django__django-15814,django__django-15814,1,E0,infra_error:Timeout
20260226_mini-v2.0.0_gemini-3-pro-high/sympy__sympy-13031,sympy__sympy-13031,1,E0,infra_error:ServiceUnavailableError
20260226_mini-v2.0.0_gemini-3-pro-high/sympy__sympy-18199,sympy__sympy-18199,1,E0,infra_error:ServiceUnavailableError
20260226_mini-v2.0.0_gemini-3-pro-high/sympy__sympy-21596,sympy__sympy-21596,1,E0,infra_error:ServiceUnavailableError
20260226_mini-v2.0.0_gemini-3-pro-high/sympy__sympy-21930,sympy__sympy-21930,1,E0,infra_error:ServiceUnavailableError
20260226_mini-v2.0.0_gemini-3-pro-high/sympy__sympy-22080,sympy__sympy-22080,1,E0,infra_error:ServiceUnavailableError
20260226_mini-v2.0.0_gemini-3-pro-high/sympy__sympy-22456,sympy__sympy-22456,1,E0,infra_error:ServiceUnavailableError
20260226_mini-v2.0.0_gemini-3-pro-high/sympy__sympy-22714,sympy__sympy-22714,1,E0,infra_error:ServiceUnavailableError
20260226_mini-v2.0.0_gemini-3-pro-high/sympy__sympy-22914,sympy__sympy-22914,1,E0,infra_error:ServiceUnavailableError
20260226_mini-v2.0.0_gemini-3-pro-high/sympy__sympy-23262,sympy__sympy-23262,1,E0,infra_error:ServiceUnavailableError
20260226_mini-v2.0.0_gemini-3-pro-high/sympy__sympy-23413,sympy__sympy-23413,1,E0,infra_error:ServiceUnavailableError
20260226_mini-v2.0.0_gemini-3-pro-high/sympy__sympy-23534,sympy__sympy-23534,1,E0,infra_error:ServiceUnavailableError
20260217_mini-v2.0.0_claude-4-5-sonnet-high/django__django-13315,django__django-13315,,E0,missing_report
20260217_mini-v2.0.0_claude-4-5-sonnet-high/django__django-14376,django__django-14376,,E0,missing_report
