marker,share_fail_runs,share_success_runs,occ_assistant,occ_tool_user
tests passed,0.5190107050572167,0.6034941131788834,12235,8070
all tests,0.6415651531930602,0.6952145841245727,19783,7402
resolved,0.3348098929494278,0.2924420812761109,12495,3495
task completed,0.0033222591362126247,0.00569692366122294,40,2
submission successful,0.0,0.00018989745537409798,2,1
FINAL ANSWER,0.0014765596160944998,0.0009494872768704899,17,0
all tests pass,0.39719453672942046,0.47455374097987085,9537,72
tests pass,0.5046142488002953,0.5789973414356248,16336,327
test passed,0.1805094130675526,0.18325104443600457,3850,2944
successfully fixed,0.046511627906976744,0.03570072161033042,370,75
issue is fixed,0.11000369139904023,0.09741739460691226,1245,343
issue has been fixed,0.025839793281653745,0.021838207368021268,255,184
fix is complete,0.15799187892211147,0.18135206988226357,1963,16
task is complete,0.013289036544850499,0.009115077857956703,86,0
task complete,0.0018456995201181247,0.001139384732244588,11,0
successfully resolved,0.015873015873015872,0.01424230915305735,141,25
has been resolved,0.04614248800295312,0.03133308013672617,305,162
MICRO_SWE_AGENT_FINAL_OUTPUT,0.08379475821336287,0.05013292821876187,520,12
COMPLETE_TASK_AND_SUBMIT_FINAL_OUTPUT,0.8781838316722038,0.9491074819597417,8949,38
