run_id,seg,label,n_frag_total,n_steps_total
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-12907,reason_sent,0,52,5
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-13033,reason_sent,1,239,13
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-13236,reason_sent,1,490,13
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-13398,reason_sent,1,147,12
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-13453,reason_sent,1,798,39
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-13579,reason_sent,1,572,54
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-13977,reason_sent,1,330,28
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-14096,reason_sent,0,1044,46
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-14182,reason_sent,0,621,11
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-14309,reason_sent,0,56,7
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-14365,reason_sent,1,150,14
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-14369,reason_sent,1,844,31
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-14508,reason_sent,0,382,20
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-14539,reason_sent,0,83,8
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-14598,reason_sent,1,1912,30
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-14995,reason_sent,0,214,24
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-7166,reason_sent,0,189,16
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-7336,reason_sent,0,159,11
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-7606,reason_sent,1,80,11
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-7671,reason_sent,0,110,13
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-8707,reason_sent,1,87,11
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-8872,reason_sent,1,492,33
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-10097,reason_sent,1,237,8
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-10554,reason_sent,1,429,28
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-10880,reason_sent,0,188,10
