seg,proj,d,N,population,n,frac_seen_median,auroc_base,auroc_chaos,auroc_full
step,cos_step,3,20,все допустимые при N,2545,0.46511627906976744,0.5,0.4900227893644303,0.4900227893644303
step,cos_step,3,20,фиксированная (≥30 фрагм.),2011,0.4,0.5,0.49910549653435127,0.49910549653435127
step,cos_step,3,30,все допустимые при N,2011,0.6,0.5,0.5034241108651358,0.5034241108651358
step,cos_step,3,30,фиксированная (≥30 фрагм.),2011,0.6,0.5,0.5034241108651358,0.5034241108651358
step,cos_step,4,20,все допустимые при N,2545,0.46511627906976744,0.5,0.5232867475730572,0.5232867475730572
step,cos_step,4,20,фиксированная (≥30 фрагм.),2011,0.4,0.5,0.5209022871000112,0.5209022871000112
step,cos_step,4,30,все допустимые при N,2011,0.6,0.5,0.5067277674369001,0.5067277674369001
step,cos_step,4,30,фиксированная (≥30 фрагм.),2011,0.6,0.5,0.5067277674369001,0.5067277674369001
step,norm,3,20,все допустимые при N,2545,0.46511627906976744,0.5,0.48875997060810555,0.48875997060810555
step,norm,3,20,фиксированная (≥30 фрагм.),2011,0.4,0.5,0.49465558445875313,0.49465558445875313
step,norm,3,30,все допустимые при N,2011,0.6,0.5,0.5032826835876639,0.5032826835876639
step,norm,3,30,фиксированная (≥30 фрагм.),2011,0.6,0.5,0.5032826835876639,0.5032826835876639
step,norm,4,20,все допустимые при N,2545,0.46511627906976744,0.5,0.521957766365086,0.521957766365086
step,norm,4,20,фиксированная (≥30 фрагм.),2011,0.4,0.5,0.5207701974724231,0.5207701974724231
step,norm,4,30,все допустимые при N,2011,0.6,0.5,0.5069443571468948,0.5069443571468948
step,norm,4,30,фиксированная (≥30 фрагм.),2011,0.6,0.5,0.5069443571468948,0.5069443571468948
step,pca1,3,20,все допустимые при N,2545,0.46511627906976744,0.5,0.49915790114975345,0.49915790114975345
step,pca1,3,20,фиксированная (≥30 фрагм.),2011,0.4,0.5,0.4700520801182706,0.4700520801182706
step,pca1,3,30,все допустимые при N,2011,0.6,0.5,0.5041375520860634,0.5041375520860634
step,pca1,3,30,фиксированная (≥30 фрагм.),2011,0.6,0.5,0.5041375520860634,0.5041375520860634
step,pca1,4,20,все допустимые при N,2545,0.46511627906976744,0.5,0.5016613407963122,0.5016613407963122
step,pca1,4,20,фиксированная (≥30 фрагм.),2011,0.4,0.5,0.498953653457802,0.498953653457802
step,pca1,4,30,все допустимые при N,2011,0.6,0.5,0.500818416058611,0.500818416058611
step,pca1,4,30,фиксированная (≥30 фрагм.),2011,0.6,0.5,0.500818416058611,0.500818416058611
