task_id,fold
astropy__astropy-12907,0
astropy__astropy-13033,4
astropy__astropy-13236,0
astropy__astropy-13398,1
astropy__astropy-13453,3
astropy__astropy-13579,1
astropy__astropy-13977,2
astropy__astropy-14096,1
astropy__astropy-14182,3
astropy__astropy-14309,0
astropy__astropy-14365,2
astropy__astropy-14369,0
astropy__astropy-14508,3
astropy__astropy-14539,4
astropy__astropy-14598,3
astropy__astropy-14995,0
astropy__astropy-7166,1
astropy__astropy-7336,1
astropy__astropy-7606,0
astropy__astropy-7671,1
astropy__astropy-8707,4
astropy__astropy-8872,4
django__django-10097,0
django__django-10554,1
django__django-10880,1
django__django-10914,1
django__django-10973,1
django__django-10999,3
django__django-11066,3
django__django-11087,1
django__django-11095,0
django__django-11099,1
django__django-11119,3
django__django-11133,0
django__django-11138,4
django__django-11141,3
django__django-11149,2
django__django-11163,1
django__django-11179,2
django__django-11206,0
django__django-11211,3
django__django-11239,3
django__django-11265,1
django__django-11276,4
django__django-11292,3
django__django-11299,1
django__django-11333,0
django__django-11400,3
django__django-11433,4
django__django-11451,4
django__django-11477,4
django__django-11490,3
django__django-11532,4
django__django-11551,4
django__django-11555,4
django__django-11603,0
django__django-11728,1
django__django-11734,1
django__django-11740,4
django__django-11749,2
django__django-11790,1
django__django-11815,3
django__django-11820,3
django__django-11848,0
django__django-11880,3
django__django-11885,3
django__django-11951,1
django__django-11964,1
django__django-11999,0
django__django-12039,0
django__django-12050,0
django__django-12125,4
django__django-12143,0
django__django-12155,0
django__django-12193,2
django__django-12209,0
django__django-12262,0
django__django-12273,0
django__django-12276,0
django__django-12304,0
django__django-12308,4
django__django-12325,2
django__django-12406,0
django__django-12419,2
django__django-12663,0
django__django-12708,3
django__django-12713,0
django__django-12741,4
django__django-12754,4
django__django-12774,2
django__django-12858,0
django__django-12965,4
django__django-13012,1
django__django-13023,0
django__django-13028,1
django__django-13033,3
django__django-13089,2
django__django-13109,2
django__django-13112,3
django__django-13121,4
django__django-13128,3
django__django-13158,0
django__django-13195,4
django__django-13212,2
django__django-13279,0
django__django-13297,4
django__django-13315,4
django__django-13343,3
django__django-13344,1
django__django-13346,1
django__django-13363,1
django__django-13401,2
django__django-13406,2
django__django-13410,1
django__django-13417,1
django__django-13449,3
django__django-13512,1
django__django-13513,1
django__django-13516,1
django__django-13551,2
django__django-13568,3
django__django-13569,4
django__django-13590,2
django__django-13658,2
django__django-13670,0
django__django-13741,2
django__django-13786,1
django__django-13794,3
django__django-13807,3
django__django-13809,2
django__django-13810,4
django__django-13820,0
django__django-13821,1
django__django-13837,3
django__django-13925,4
django__django-13933,3
django__django-13964,3
django__django-14007,1
django__django-14011,3
django__django-14017,2
django__django-14034,1
django__django-14053,1
django__django-14089,3
django__django-14122,2
django__django-14140,1
django__django-14155,1
django__django-14170,2
django__django-14238,2
django__django-14311,0
django__django-14315,4
django__django-14349,2
django__django-14351,4
django__django-14373,1
django__django-14376,1
django__django-14404,0
django__django-14434,0
django__django-14493,3
django__django-14500,1
django__django-14534,2
django__django-14539,3
django__django-14559,4
django__django-14580,4
django__django-14608,3
django__django-14631,2
django__django-14672,3
django__django-14725,2
django__django-14752,4
django__django-14765,2
django__django-14771,1
django__django-14787,4
django__django-14792,3
django__django-14855,3
django__django-14915,0
django__django-14999,0
django__django-15022,4
django__django-15037,1
django__django-15098,1
django__django-15103,2
django__django-15104,3
django__django-15127,2
django__django-15128,0
django__django-15161,1
django__django-15252,0
django__django-15268,2
django__django-15277,2
django__django-15278,0
django__django-15280,3
django__django-15315,4
django__django-15368,4
django__django-15375,4
django__django-15380,4
django__django-15382,4
django__django-15467,1
django__django-15499,0
django__django-15503,0
django__django-15525,1
django__django-15554,2
django__django-15561,3
django__django-15563,2
django__django-15569,2
django__django-15572,3
django__django-15629,4
django__django-15695,2
django__django-15731,1
django__django-15732,0
django__django-15741,4
django__django-15814,3
django__django-15851,3
django__django-15863,1
django__django-15916,0
django__django-15930,1
django__django-15957,0
django__django-15973,4
django__django-15987,3
django__django-16032,4
django__django-16082,3
django__django-16100,3
django__django-16116,4
django__django-16136,1
django__django-16139,2
django__django-16145,1
django__django-16255,3
django__django-16256,1
django__django-16263,2
django__django-16315,3
django__django-16333,2
django__django-16429,3
django__django-16454,1
django__django-16485,2
django__django-16493,1
django__django-16502,3
django__django-16527,1
django__django-16560,3
django__django-16569,3
django__django-16595,2
django__django-16612,4
django__django-16631,3
django__django-16642,1
django__django-16661,0
django__django-16662,2
django__django-16667,3
django__django-16801,4
django__django-16819,3
django__django-16877,4
django__django-16899,2
django__django-16901,2
django__django-16938,2
django__django-16950,1
django__django-17029,1
django__django-17084,1
django__django-17087,2
django__django-7530,4
django__django-9296,4
matplotlib__matplotlib-13989,1
matplotlib__matplotlib-14623,3
matplotlib__matplotlib-20488,2
matplotlib__matplotlib-20676,3
matplotlib__matplotlib-20826,4
matplotlib__matplotlib-20859,3
matplotlib__matplotlib-21568,4
matplotlib__matplotlib-22719,3
matplotlib__matplotlib-22865,1
matplotlib__matplotlib-22871,0
matplotlib__matplotlib-23299,4
matplotlib__matplotlib-23314,4
matplotlib__matplotlib-23412,1
matplotlib__matplotlib-23476,1
matplotlib__matplotlib-24026,3
matplotlib__matplotlib-24149,0
matplotlib__matplotlib-24177,4
matplotlib__matplotlib-24570,4
matplotlib__matplotlib-24627,1
matplotlib__matplotlib-24637,1
matplotlib__matplotlib-24870,4
matplotlib__matplotlib-24970,2
matplotlib__matplotlib-25122,1
matplotlib__matplotlib-25287,4
matplotlib__matplotlib-25311,0
matplotlib__matplotlib-25332,0
matplotlib__matplotlib-25479,3
matplotlib__matplotlib-25775,0
matplotlib__matplotlib-25960,1
matplotlib__matplotlib-26113,3
matplotlib__matplotlib-26208,3
matplotlib__matplotlib-26291,2
matplotlib__matplotlib-26342,3
