combo,axis,train,test,n_test,n_fail_test,auroc_base_in,auroc_base_cross,drop_base,auroc_chaos_in,auroc_chaos_cross,drop_chaos,auroc_full_in,auroc_full_cross,drop_full
"('step', 'cos_step', 30, 3)",семейство моделей,все остальные,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,117,87,0.5,0.5,0.0,0.5528108465608466,0.36031746031746026,0.1924933862433863,0.5528108465608466,0.36031746031746026,0.1924933862433863
"('step', 'cos_step', 30, 3)",семейство моделей,все остальные,20250415_openhands,300,127,0.5,0.5,0.0,0.4816484761123287,0.5359575500527635,-0.05430907394043477,0.4816484761123287,0.5359575500527635,-0.05430907394043477
"('step', 'cos_step', 30, 3)",семейство моделей,все остальные,20250520_openhands_devstral_small,387,234,0.5,0.5,0.0,0.5082964026648329,0.5009442297886958,0.0073521728761370975,0.5082964026648329,0.5009442297886958,0.0073521728761370975
"('step', 'cos_step', 30, 3)",семейство моделей,все остальные,20250524_openhands_claude_4_sonnet,499,148,0.5,0.5,0.0,0.5346211171816613,0.5307993425903466,0.0038217745913147194,0.5346211171816613,0.5307993425903466,0.0038217745913147194
"('step', 'cos_step', 30, 3)",семейство моделей,все остальные,20250716_openhands_kimi_k2,483,171,0.5,0.5,0.0,0.4447561493760315,0.4391167079439359,0.005639441432095549,0.4447561493760315,0.4391167079439359,0.005639441432095549
"('step', 'cos_step', 30, 3)",семейство моделей,все остальные,20250807_openhands_gpt5,225,82,0.5,0.5,0.0,0.4839857797224095,0.45289529984262406,0.03109047987978547,0.4839857797224095,0.45289529984262406,0.03109047987978547
"('step', 'pca1', 30, 3)",семейство моделей,все остальные,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,117,87,0.5,0.5,0.0,0.41071428571428575,0.4757275132275133,-0.06501322751322752,0.41071428571428575,0.4757275132275133,-0.06501322751322752
"('step', 'pca1', 30, 3)",семейство моделей,все остальные,20250415_openhands,300,127,0.5,0.5,0.0,0.5228943429024454,0.5222670102995749,0.0006273326028705117,0.5228943429024454,0.5222670102995749,0.0006273326028705117
"('step', 'pca1', 30, 3)",семейство моделей,все остальные,20250520_openhands_devstral_small,387,234,0.5,0.5,0.0,0.44211072794684003,0.451668600069221,-0.009557872122380962,0.44211072794684003,0.451668600069221,-0.009557872122380962
"('step', 'pca1', 30, 3)",семейство моделей,все остальные,20250524_openhands_claude_4_sonnet,499,148,0.5,0.5,0.0,0.48700334084443025,0.4803425147297712,0.006660826114659069,0.48700334084443025,0.4803425147297712,0.006660826114659069
"('step', 'pca1', 30, 3)",семейство моделей,все остальные,20250716_openhands_kimi_k2,483,171,0.5,0.5,0.0,0.48824410211982594,0.49209392185664713,-0.0038498197368211917,0.48824410211982594,0.49209392185664713,-0.0038498197368211917
"('step', 'pca1', 30, 3)",семейство моделей,все остальные,20250807_openhands_gpt5,225,82,0.5,0.5,0.0,0.5123930034169687,0.5099518366776674,0.0024411667393012815,0.5123930034169687,0.5099518366776674,0.0024411667393012815
