seg,proj,N,d,n_traj,n_tasks,auroc_base,auroc_chaos,auroc_full,delta_auroc,delta_ci_low,delta_ci_high,spearman_H_nfrag,frac_tasks_signif,median_effect_size,n_dropped_nan,n_fail,n_succ,base_cols,pr_auc_base,prec10_base,auroc_pooled_base,pr_auc_chaos,prec10_chaos,auroc_pooled_chaos,pr_auc_full,prec10_full,auroc_pooled_full,p_boot,spearman_H_nsteps_total,spearman_H_nsteps_prefix,frac_seen_median,n_tasks_both,majority_sign_share,share_positive,p_sign,n_tasks_3each,frac_tasks_signif_3each,median_effect_size_3each,n_tasks_both_C,frac_tasks_signif_C,median_effect_size_C,majority_sign_share_C,share_positive_C,p_sign_C,n_tasks_3each_C,frac_tasks_signif_3each_C,median_effect_size_3each_C,q_bh,q_sign,q_sign_C
all_sent,cos_step,50,3,7973,500,0.546417914410692,0.5253919297813858,0.5504042721142388,0.003986357703546828,-0.0025653460161030794,0.010426051435028316,0.010600683846769493,0.0,-0.06666666666666665,0,2709,5264,"n_steps,total_chars,mean_frag_len,n_tool_calls,repeat_ratio",0.4054013661259768,0.45874999999999994,0.5443170196496874,0.3638935669595026,0.38625,0.5196755285488762,0.40892039027598326,0.475,0.5484731043992724,0.12087912087912088,-0.020607780979227348,-0.04801054233804298,0.0748502994011976,337,0.5609756097560976,0.43902439024390244,0.03112949766036733,159,0.0,-0.054545454545454564,337,0.0,0.06666666666666665,0.5749235474006116,0.5749235474006116,0.007848315921635105,159,0.0,0.05454545454545445,0.3431407302375044,0.05168671309645896,0.016845165880582665
all_sent,cos_step,50,4,7973,500,0.546417914410692,0.5214666972301393,0.5479287636354094,0.0015108492247174476,-0.004008039680523751,0.007208546795222948,0.0005106262521611877,0.0,-0.036363636363636376,0,2709,5264,"n_steps,total_chars,mean_frag_len,n_tool_calls,repeat_ratio",0.4054013661259768,0.45874999999999994,0.5443170196496874,0.36626396241853837,0.37124999999999997,0.5149083363346988,0.4082778911017811,0.475,0.5460730638948635,0.2907092907092907,-0.03014275420942832,-0.05423627102256682,0.0748502994011976,337,0.5240963855421688,0.4759036144578313,0.4104144705567767,159,0.0,-0.04166666666666663,337,0.0,0.02564102564102555,0.5303030303030303,0.5303030303030303,0.29558901932385895,159,0.0,0.03125,0.5050635638870933,0.4947462110821418,0.3663638549366139
all_sent,cos_step,100,3,7927,500,0.5201027117067435,0.5215958815007951,0.5292251008145373,0.009122389107793838,0.00038623551042444725,0.01736926959503134,0.00683877784515265,0.0,-0.07407407407407407,0,2696,5231,"n_steps,total_chars,mean_frag_len,n_tool_calls,repeat_ratio",0.3852626165928548,0.45346708064644536,0.5177205182866125,0.36516045027144434,0.39552583393041957,0.5141687707441428,0.3905504447901541,0.4584746437385559,0.5268425875870112,0.02097902097902098,-0.037010853748491467,-0.06079325992566956,0.1488095238095238,335,0.5507692307692308,0.4492307692307692,0.07572937616666985,158,0.0,-0.07968253968253969,335,0.0,0.0714285714285714,0.5548780487804879,0.5548780487804879,0.05312560717784821,158,0.0,0.07968253968253969,0.16229923922231615,0.11489974314943012,0.08657506354908596
all_sent,cos_step,100,4,7927,500,0.5201027117067435,0.5188641303304956,0.5268888636545691,0.006786151947825614,-0.0023798275852341313,0.015613141949218649,-0.00026403215270617776,0.0,-0.09375,0,2696,5231,"n_steps,total_chars,mean_frag_len,n_tool_calls,repeat_ratio",0.3852626165928548,0.45346708064644536,0.5177205182866125,0.3679968210706524,0.38416527346548845,0.5126151759057933,0.3918316572548986,0.46860122601703685,0.5240832726833355,0.06793206793206794,-0.043632210333124304,-0.07867195998536038,0.1488095238095238,335,0.5871559633027523,0.41284403669724773,0.001911440281256736,158,0.0,-0.09375,335,0.0,0.07692307692307687,0.5723076923076923,0.5723076923076923,0.010611116846790308,158,0.0,0.10912698412698418,0.24615384615384617,0.005256460773456024,0.02223281625041779
all_sent,cos_step,200,3,7722,500,0.5214876147952918,0.5196050705474662,0.5293667266706887,0.007879111875396916,-0.0008485253867756245,0.016460488266927212,0.0005734025276040985,0.0,-0.06666666666666665,0,2639,5083,"n_steps,total_chars,mean_frag_len,n_tool_calls,repeat_ratio",0.3902624890626819,0.4638523167745179,0.5171876296449757,0.36428242844217484,0.3644859631197392,0.5119005188370958,0.39249282264935326,0.4754820869621629,0.5255866671606766,0.03596403596403597,-0.04797655535345871,-0.09390332766942908,0.29175799621204057,322,0.5659163987138264,0.4340836012861736,0.023163665787955978,155,0.0,-0.02564102564102566,322,0.0,0.06666666666666665,0.5673076923076923,0.5673076923076923,0.020130656416863624,155,0.0,0.022222222222222143,0.2227106227106227,0.04337026785830055,0.03851082097139128
all_sent,cos_step,200,4,7722,500,0.5214876147952918,0.5164472532525141,0.5257272494920825,0.004239634696790673,-0.005509334188662986,0.014574146047954609,0.01672447585210753,0.0,-0.07692307692307687,0,2639,5083,"n_steps,total_chars,mean_frag_len,n_tool_calls,repeat_ratio",0.3902624890626819,0.4638523167745179,0.5171876296449757,0.36487823806823066,0.35673575633727433,0.5118980587275851,0.38866110243923263,0.4638437211112733,0.5225403806475262,0.19480519480519481,-0.04668269260548092,-0.11783110062014565,0.29175799621204057,322,0.5615141955835963,0.4384858044164038,0.03265528324784296,155,0.0,-0.045454545454545414,322,0.0,0.061111111111111116,0.5492063492063493,0.5492063492063493,0.0908100381630628,155,0.0,0.02564102564102555,0.42026266416510316,0.05224845319654874,0.14019795365525484
all_sent,cos_step,400,3,6373,500,0.5398505176902205,0.5271357327224399,0.5421954019997476,0.002344884309527062,-0.0116698346239355,0.019031928102165585,-0.015220840408627046,0.0,-0.09232954545454547,0,2338,4035,"n_steps,total_chars,mean_frag_len,n_tool_calls,repeat_ratio",0.41362855944501187,0.45035951901361165,0.532685823255242,0.4028084411394108,0.41802736983458466,0.5213074647306555,0.41318154393676637,0.43975564914850757,0.5369435319483179,0.3886113886113886,-0.07449079020545128,-0.09122513625049232,0.5044136191677175,288,0.5875912408759124,0.4124087591240876,0.004433671963048408,128,0.0,-0.051587301587301626,288,0.0,0.09090909090909083,0.5860805860805861,0.5860805860805861,0.0052733847410481646,128,0.0,0.05108225108225106,0.5896172792724517,0.010837864798562774,0.012542104248979419
all_sent,cos_step,400,4,6373,500,0.5398505176902205,0.5273477398110733,0.5380943479030439,-0.0017561697871766313,-0.01871003141509042,0.016707469046076732,0.004637621684658302,0.0,-0.10912698412698413,0,2338,4035,"n_steps,total_chars,mean_frag_len,n_tool_calls,repeat_ratio",0.41362855944501187,0.45035951901361165,0.532685823255242,0.4073557234617738,0.4323525605810902,0.5225554202269915,0.41349343378398534,0.45213120918024785,0.5336946923995874,0.5904095904095904,-0.08258319270160622,-0.12553262936816956,0.5044136191677175,288,0.5854545454545454,0.41454545454545455,0.005442800476960388,128,0.0,-0.07275132275132273,288,0.0,0.11555555555555563,0.5899280575539568,0.5899280575539568,0.003223006786580525,128,0.0,0.06666666666666665,0.7653522947640594,0.012281190819808056,0.008341899918208419
all_sent,cos_task,50,3,7973,500,0.546417914410692,0.5028509647215683,0.5443701475535835,-0.0020477668571085017,-0.004967668371754217,0.001082902539767365,-0.0011268003792951839,0.0,-0.04166666666666663,0,2709,5264,"n_steps,total_chars,mean_frag_len,n_tool_calls,repeat_ratio",0.4054013661259768,0.45874999999999994,0.5443170196496874,0.349810025005191,0.35875,0.4915161986780528,0.40033148826170706,0.4575,0.5424661659154838,0.9020979020979021,-0.001065494491324641,0.010226868420401892,0.0748502994011976,337,0.5323076923076924,0.4676923076923077,0.2672296304683122,159,0.0,0.0,337,0.0,0.05128205128205132,0.5321100917431193,0.5321100917431193,0.2686986313239079,159,0.0,0.0,0.996003996003996,0.3497360358644239,0.34268810951454926
all_sent,cos_task,50,4,7973,500,0.546417914410692,0.5088876802599642,0.5444309179922945,-0.001986996418397502,-0.005199211401085971,0.0012866662151100991,0.02300115480481816,0.0,-0.06666666666666665,0,2709,5264,"n_steps,total_chars,mean_frag_len,n_tool_calls,repeat_ratio",0.4054013661259768,0.45874999999999994,0.5443170196496874,0.3518508806748953,0.34625000000000006,0.5010271612355977,0.4010323755550333,0.45625,0.5424113980079909,0.8731268731268731,0.01343441433703656,0.006968720197332571,0.0748502994011976,337,0.5531914893617021,0.44680851063829785,0.06069960407205669,159,0.0,-0.033333333333333326,337,0.0,0.06666666666666665,0.5424242424242425,0.5424242424242425,0.1370796187548106,159,0.0,0.03125,0.996003996003996,0.09538509211323194,0.19456462016811826
