run_id,task_id,agent_id,model_id,model_family,label,n_steps,exit_status
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-12907,astropy__astropy-12907,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,5,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-13033,astropy__astropy-13033,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,13,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-13236,astropy__astropy-13236,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,13,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-13398,astropy__astropy-13398,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,12,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-13453,astropy__astropy-13453,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,39,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-13579,astropy__astropy-13579,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,54,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-13977,astropy__astropy-13977,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,28,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-14096,astropy__astropy-14096,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,46,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-14182,astropy__astropy-14182,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,11,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-14309,astropy__astropy-14309,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,7,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-14365,astropy__astropy-14365,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,14,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-14369,astropy__astropy-14369,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,31,Submitted
20250726_mini-v1.0.0_gemini-2.5-pro/astropy__astropy-14508,astropy__astropy-14508,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,20,Submitted
