run_id,task_id,agent_id,model_id,model_family,label,seg,n_frag_total,n_steps_total
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-11292,django__django-11292,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,435,16
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-12419,django__django-12419,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,243,17
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13658,django__django-13658,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,4580,9
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13925,django__django-13925,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,357,10
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-13964,django__django-13964,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,915,59
20250726_mini-v1.0.0_gemini-2.5-pro/django__django-14725,django__django-14725,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,257,31
20250726_mini-v1.0.0_gemini-2.5-pro/matplotlib__matplotlib-23412,matplotlib__matplotlib-23412,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,223,15
20250726_mini-v1.0.0_gemini-2.5-pro/matplotlib__matplotlib-24026,matplotlib__matplotlib-24026,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,330,10
20250726_mini-v1.0.0_gemini-2.5-pro/matplotlib__matplotlib-25479,matplotlib__matplotlib-25479,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,725,23
20250726_mini-v1.0.0_gemini-2.5-pro/pydata__xarray-3677,pydata__xarray-3677,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,257,15
20250726_mini-v1.0.0_gemini-2.5-pro/pydata__xarray-7229,pydata__xarray-7229,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,331,37
20250726_mini-v1.0.0_gemini-2.5-pro/scikit-learn__scikit-learn-13124,scikit-learn__scikit-learn-13124,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,460,11
20250726_mini-v1.0.0_gemini-2.5-pro/sphinx-doc__sphinx-11445,sphinx-doc__sphinx-11445,mini-swe-agent-1.0.0,gemini-2.5-pro,google,0,reason_sent,414,17
20250726_mini-v1.0.0_gemini-2.5-pro/sphinx-doc__sphinx-11510,sphinx-doc__sphinx-11510,mini-swe-agent-1.0.0,gemini-2.5-pro,google,1,reason_sent,288,12
20250822_mini-v1.9.1_glm-4.5/astropy__astropy-14508,astropy__astropy-14508,mini-swe-agent-1.9.1,GLM-4.5,zhipu,0,reason_sent,229,23
20250822_mini-v1.9.1_glm-4.5/django__django-11095,django__django-11095,mini-swe-agent-1.9.1,GLM-4.5,zhipu,0,reason_sent,272,44
20250822_mini-v1.9.1_glm-4.5/django__django-11133,django__django-11133,mini-swe-agent-1.9.1,GLM-4.5,zhipu,0,reason_sent,203,25
20250822_mini-v1.9.1_glm-4.5/django__django-11265,django__django-11265,mini-swe-agent-1.9.1,GLM-4.5,zhipu,1,reason_sent,270,39
20250822_mini-v1.9.1_glm-4.5/django__django-12193,django__django-12193,mini-swe-agent-1.9.1,GLM-4.5,zhipu,1,reason_sent,315,44
20250822_mini-v1.9.1_glm-4.5/django__django-12273,django__django-12273,mini-swe-agent-1.9.1,GLM-4.5,zhipu,1,reason_sent,801,93
20250822_mini-v1.9.1_glm-4.5/django__django-13401,django__django-13401,mini-swe-agent-1.9.1,GLM-4.5,zhipu,0,reason_sent,487,67
20250822_mini-v1.9.1_glm-4.5/django__django-13925,django__django-13925,mini-swe-agent-1.9.1,GLM-4.5,zhipu,1,reason_sent,547,76
20250822_mini-v1.9.1_glm-4.5/django__django-13933,django__django-13933,mini-swe-agent-1.9.1,GLM-4.5,zhipu,0,reason_sent,243,41
20250822_mini-v1.9.1_glm-4.5/django__django-14311,django__django-14311,mini-swe-agent-1.9.1,GLM-4.5,zhipu,0,reason_sent,323,62
20250822_mini-v1.9.1_glm-4.5/django__django-15022,django__django-15022,mini-swe-agent-1.9.1,GLM-4.5,zhipu,0,reason_sent,306,33
20250822_mini-v1.9.1_glm-4.5/django__django-15554,django__django-15554,mini-swe-agent-1.9.1,GLM-4.5,zhipu,1,reason_sent,644,78
20250822_mini-v1.9.1_glm-4.5/django__django-15563,django__django-15563,mini-swe-agent-1.9.1,GLM-4.5,zhipu,1,reason_sent,337,50
20250822_mini-v1.9.1_glm-4.5/django__django-16032,django__django-16032,mini-swe-agent-1.9.1,GLM-4.5,zhipu,1,reason_sent,474,64
20250822_mini-v1.9.1_glm-4.5/django__django-16145,django__django-16145,mini-swe-agent-1.9.1,GLM-4.5,zhipu,0,reason_sent,277,31
20250822_mini-v1.9.1_glm-4.5/django__django-7530,django__django-7530,mini-swe-agent-1.9.1,GLM-4.5,zhipu,0,reason_sent,238,24
20250822_mini-v1.9.1_glm-4.5/matplotlib__matplotlib-25775,matplotlib__matplotlib-25775,mini-swe-agent-1.9.1,GLM-4.5,zhipu,0,reason_sent,280,60
20250929_mini-v1.13.3_sonnet-4-5-20250929/django__django-10914,django__django-10914,mini-swe-agent-1.13.3,claude-sonnet-4-5-20250929,anthropic,0,reason_sent,229,57
20250929_mini-v1.13.3_sonnet-4-5-20250929/django__django-11555,django__django-11555,mini-swe-agent-1.13.3,claude-sonnet-4-5-20250929,anthropic,0,reason_sent,554,90
20250929_mini-v1.13.3_sonnet-4-5-20250929/django__django-12039,django__django-12039,mini-swe-agent-1.13.3,claude-sonnet-4-5-20250929,anthropic,0,reason_sent,262,42
20250929_mini-v1.13.3_sonnet-4-5-20250929/django__django-12193,django__django-12193,mini-swe-agent-1.13.3,claude-sonnet-4-5-20250929,anthropic,0,reason_sent,204,52
20250929_mini-v1.13.3_sonnet-4-5-20250929/django__django-13128,django__django-13128,mini-swe-agent-1.13.3,claude-sonnet-4-5-20250929,anthropic,0,reason_sent,261,49
20250929_mini-v1.13.3_sonnet-4-5-20250929/django__django-14122,django__django-14122,mini-swe-agent-1.13.3,claude-sonnet-4-5-20250929,anthropic,0,reason_sent,204,51
20250929_mini-v1.13.3_sonnet-4-5-20250929/django__django-15563,django__django-15563,mini-swe-agent-1.13.3,claude-sonnet-4-5-20250929,anthropic,0,reason_sent,262,58
20250929_mini-v1.13.3_sonnet-4-5-20250929/django__django-15629,django__django-15629,mini-swe-agent-1.13.3,claude-sonnet-4-5-20250929,anthropic,1,reason_sent,239,57
20250929_mini-v1.13.3_sonnet-4-5-20250929/django__django-16263,django__django-16263,mini-swe-agent-1.13.3,claude-sonnet-4-5-20250929,anthropic,1,reason_sent,381,43
20250929_mini-v1.13.3_sonnet-4-5-20250929/django__django-16560,django__django-16560,mini-swe-agent-1.13.3,claude-sonnet-4-5-20250929,anthropic,1,reason_sent,281,50
20250929_mini-v1.13.3_sonnet-4-5-20250929/matplotlib__matplotlib-24177,matplotlib__matplotlib-24177,mini-swe-agent-1.13.3,claude-sonnet-4-5-20250929,anthropic,1,reason_sent,439,91
20250929_mini-v1.13.3_sonnet-4-5-20250929/psf__requests-1724,psf__requests-1724,mini-swe-agent-1.13.3,claude-sonnet-4-5-20250929,anthropic,1,reason_sent,208,47
20250929_mini-v1.13.3_sonnet-4-5-20250929/scikit-learn__scikit-learn-10844,scikit-learn__scikit-learn-10844,mini-swe-agent-1.13.3,claude-sonnet-4-5-20250929,anthropic,0,reason_sent,209,38
20250929_mini-v1.13.3_sonnet-4-5-20250929/sphinx-doc__sphinx-8056,sphinx-doc__sphinx-8056,mini-swe-agent-1.13.3,claude-sonnet-4-5-20250929,anthropic,1,reason_sent,316,63
20250929_mini-v1.13.3_sonnet-4-5-20250929/sphinx-doc__sphinx-8621,sphinx-doc__sphinx-8621,mini-swe-agent-1.13.3,claude-sonnet-4-5-20250929,anthropic,0,reason_sent,247,25
20250929_mini-v1.13.3_sonnet-4-5-20250929/sympy__sympy-20428,sympy__sympy-20428,mini-swe-agent-1.13.3,claude-sonnet-4-5-20250929,anthropic,1,reason_sent,207,43
20250929_mini-v1.13.3_sonnet-4-5-20250929/sympy__sympy-24443,sympy__sympy-24443,mini-swe-agent-1.13.3,claude-sonnet-4-5-20250929,anthropic,0,reason_sent,381,58
20251118_mini-v1.15.0_gemini-3-pro-preview-20251118/astropy__astropy-12907,astropy__astropy-12907,mini-swe-agent-1.15.0,gemini-3-pro-preview,google,0,reason_sent,256,20
20251118_mini-v1.15.0_gemini-3-pro-preview-20251118/astropy__astropy-14182,astropy__astropy-14182,mini-swe-agent-1.15.0,gemini-3-pro-preview,google,1,reason_sent,427,25
20251118_mini-v1.15.0_gemini-3-pro-preview-20251118/django__django-12304,django__django-12304,mini-swe-agent-1.15.0,gemini-3-pro-preview,google,0,reason_sent,413,43
20251118_mini-v1.15.0_gemini-3-pro-preview-20251118/django__django-13158,django__django-13158,mini-swe-agent-1.15.0,gemini-3-pro-preview,google,0,reason_sent,303,44
