combo,axis,train,test,n_test,n_fail_test,auroc_base_in,auroc_base_cross,drop_base,auroc_chaos_in,auroc_chaos_cross,drop_chaos,auroc_full_in,auroc_full_cross,drop_full
"('reason_sent', 'cos_step', 200, 4)",семейство моделей,все остальные,anthropic,1220,425,0.5190363271300305,0.49794468319004287,0.02109164393998758,0.5323740946812725,0.5317414105887583,0.0006326840925141575,0.5347525553521961,0.531099010265472,0.003653545086724108
"('reason_sent', 'cos_step', 200, 4)",семейство моделей,все остальные,deepseek,500,150,0.47258887309939884,0.4564823633722203,0.01610650972717853,0.49744005158449145,0.49744005158449145,0.0,0.5019612079022837,0.49527379409284117,0.006687413809442544
"('reason_sent', 'cos_step', 200, 4)",семейство моделей,все остальные,google,1766,563,0.47881608939160997,0.4583797235182587,0.020436365873351292,0.525136575808752,0.5257476319585561,-0.0006110561498041678,0.5120041821279079,0.4827337789594079,0.029270403168499992
"('reason_sent', 'cos_step', 200, 4)",семейство моделей,все остальные,minimax,912,312,0.5423840699695626,0.44480645355503423,0.09757761641452833,0.5330217797496151,0.5333492738801819,-0.0003274941305668744,0.5463325954163908,0.519352036190971,0.026980559225419753
"('reason_sent', 'cos_step', 200, 4)",семейство моделей,все остальные,mistral,892,418,0.5049233455541173,0.49003980807130193,0.014883537482815401,0.5219568993292935,0.5199962749519695,0.0019606243773239163,0.5112704522756466,0.5058987021370559,0.005371750138590703
"('reason_sent', 'cos_step', 200, 4)",семейство моделей,все остальные,moonshot,315,126,0.4541567230798,0.46756591079668003,-0.013409187716880044,0.46863021657893456,0.4674349384605795,0.0011952781183550698,0.44384798548901117,0.4512132628542885,-0.007365277365277312
"('reason_sent', 'cos_step', 200, 4)",семейство моделей,все остальные,zhipu,1068,485,0.5762734904571984,0.47325217755871984,0.1030213128984786,0.5482026383950875,0.54839172407268,-0.00018908567759245987,0.5548050758865819,0.5214747226699907,0.03333035321659117
"('reason_sent', 'cos_step', 200, 4)",версия агента,v1.x,v2.x,3552,1080,0.4800488895757121,0.4867509678179124,-0.00670207824220026,0.5157037761364966,0.5157412730861609,-3.749694966426187e-05,0.5056036324702775,0.4927670447198412,0.012836587750436335
"('reason_sent', 'cos_step', 200, 4)",версия агента,v2.x,v1.x,3121,1399,0.5190507477418447,0.4846922997649563,0.03435844797688836,0.5397179647852616,0.5400420534235841,-0.00032408863832256163,0.538981985593059,0.5118404790611188,0.02714150653194014
"('reason_sent', 'pca1', 200, 4)",семейство моделей,все остальные,anthropic,1220,425,0.5190363271300305,0.49794468319004287,0.02109164393998758,0.47834906655008513,0.47707968439836657,0.0012693821517185677,0.4900431257296944,0.4872959839405354,0.002747141789158969
"('reason_sent', 'pca1', 200, 4)",семейство моделей,все остальные,deepseek,500,150,0.47258887309939884,0.4564823633722203,0.01610650972717853,0.48924153171715623,0.48915240515744146,8.912655971476946e-05,0.478110762012706,0.4738380216587811,0.004272740353924942
"('reason_sent', 'pca1', 200, 4)",семейство моделей,все остальные,google,1766,563,0.47881608939160997,0.4583797235182587,0.020436365873351292,0.5342274536792617,0.5339807081366059,0.00024674554265580184,0.5091222174485898,0.4700718662397231,0.039050351208866685
"('reason_sent', 'pca1', 200, 4)",семейство моделей,все остальные,minimax,912,312,0.5423840699695626,0.44480645355503423,0.09757761641452833,0.5155503210319429,0.5155014430340543,4.8877997888552294e-05,0.5448222588219018,0.5232359198018256,0.02158633902007623
"('reason_sent', 'pca1', 200, 4)",семейство моделей,все остальные,mistral,892,418,0.5049233455541173,0.49003980807130193,0.014883537482815401,0.52810203846386,0.5270731928054954,0.0010288456583645855,0.5356914597237263,0.5364464917220647,-0.0007550319983383735
"('reason_sent', 'pca1', 200, 4)",семейство моделей,все остальные,moonshot,315,126,0.4541567230798,0.46756591079668003,-0.013409187716880044,0.48513546908418703,0.48452756334807623,0.0006079057361108031,0.4843094793864024,0.48766599002496436,-0.0033565106385619603
"('reason_sent', 'pca1', 200, 4)",семейство моделей,все остальные,zhipu,1068,485,0.5762734904571984,0.47325217755871984,0.1030213128984786,0.5860330697729277,0.5861033032065326,-7.023343360490486e-05,0.5983979218353896,0.5854669371934411,0.012930984641948529
"('reason_sent', 'pca1', 200, 4)",версия агента,v1.x,v2.x,3552,1080,0.4800488895757121,0.4867509678179124,-0.00670207824220026,0.5206595542368209,0.521063172936079,-0.00040361869925809035,0.5041195830585161,0.4904178465814912,0.01370173647702494
"('reason_sent', 'pca1', 200, 4)",версия агента,v2.x,v1.x,3121,1399,0.5190507477418447,0.4846922997649563,0.03435844797688836,0.5347290742044424,0.5361489435048632,-0.0014198693004208174,0.5422388587464015,0.5254368536152975,0.01680200513110408
