combo,axis,train,test,n_test,n_fail_test,auroc_base_in,auroc_base_cross,drop_base,auroc_chaos_in,auroc_chaos_cross,drop_chaos,auroc_full_in,auroc_full_cross,drop_full
"('reason_sent', 'cos_step', 200, 4)",семейство моделей,все остальные,anthropic,56,21,0.5851082251082251,0.5777705627705627,0.007337662337662421,0.43474025974025976,0.42000000000000004,0.01474025974025972,0.5143073593073593,0.5515367965367965,-0.03722943722943728
"('reason_sent', 'cos_step', 200, 4)",семейство моделей,все остальные,deepseek,11,2,0.25,0.25,0.0,0.5,0.5,0.0,0.5,0.5,0.0
"('reason_sent', 'cos_step', 200, 4)",семейство моделей,все остальные,google,84,26,0.6081612554112554,0.578422619047619,0.029738636363636384,0.4171450216450216,0.4082813852813853,0.008863636363636296,0.521993777056277,0.4988538961038961,0.023139880952380953
"('reason_sent', 'cos_step', 200, 4)",семейство моделей,все остальные,minimax,44,16,0.5447619047619048,0.5415873015873016,0.0031746031746031633,0.5363492063492064,0.5463492063492064,-0.010000000000000009,0.5798412698412698,0.636031746031746,-0.056190476190476124
"('reason_sent', 'cos_step', 200, 4)",семейство моделей,все остальные,mistral,40,19,0.45499999999999996,0.47375,-0.018750000000000044,0.68875,0.5241666666666667,0.1645833333333333,0.56875,0.36083333333333334,0.20791666666666664
"('reason_sent', 'cos_step', 200, 4)",семейство моделей,все остальные,moonshot,13,7,0.6666666666666666,0.6666666666666666,0.0,0.27777777777777773,0.27777777777777773,0.0,0.4166666666666667,0.4166666666666667,0.0
"('reason_sent', 'cos_step', 200, 4)",семейство моделей,все остальные,zhipu,52,20,0.5261904761904762,0.5599206349206349,-0.03373015873015872,0.5606349206349207,0.5623809523809523,-0.0017460317460316066,0.593968253968254,0.6484126984126984,-0.054444444444444406
"('reason_sent', 'cos_step', 200, 4)",версия агента,v1.x,v2.x,140,45,0.5541089466089466,0.6081304112554112,-0.05402146464646462,0.4553075396825396,0.4790304834054834,-0.023722943722943757,0.5135218253968253,0.608400974025974,-0.0948791486291487
"('reason_sent', 'cos_step', 200, 4)",версия агента,v2.x,v1.x,160,66,0.5818260102470629,0.5646505395189606,0.017175470728102327,0.5884924870451187,0.5505929888824626,0.03789949816265614,0.6117980265348686,0.6172405518458149,-0.005442525310946356
"('reason_sent', 'cos_task', 100, 4)",семейство моделей,все остальные,anthropic,56,21,0.5046320346320347,0.5543722943722944,-0.04974025974025975,0.5317532467532466,0.5484199134199134,-0.01666666666666672,0.5000432900432901,0.5534415584415584,-0.053398268398268334
"('reason_sent', 'cos_task', 100, 4)",семейство моделей,все остальные,deepseek,11,2,0.0,0.25,-0.25,0.75,0.75,0.0,0.75,0.25,0.5
"('reason_sent', 'cos_task', 100, 4)",семейство моделей,все остальные,google,84,26,0.6204320887445888,0.6616152597402598,-0.04118317099567104,0.5085944264069263,0.4905979437229438,0.017996482683982518,0.5691030844155844,0.551896645021645,0.0172064393939394
"('reason_sent', 'cos_task', 100, 4)",семейство моделей,все остальные,minimax,44,16,0.576031746031746,0.4958730158730159,0.0801587301587301,0.5461904761904762,0.5204761904761904,0.0257142857142858,0.6628571428571428,0.5842857142857143,0.07857142857142851
"('reason_sent', 'cos_task', 100, 4)",семейство моделей,все остальные,mistral,40,19,0.6183333333333334,0.5454166666666667,0.07291666666666674,0.6408333333333334,0.635,0.005833333333333357,0.6458333333333334,0.6583333333333334,-0.012500000000000067
"('reason_sent', 'cos_task', 100, 4)",семейство моделей,все остальные,moonshot,13,7,0.7083333333333334,0.6666666666666666,0.04166666666666674,0.5416666666666666,0.5416666666666666,0.0,0.8333333333333334,0.8333333333333334,0.0
"('reason_sent', 'cos_task', 100, 4)",семейство моделей,все остальные,zhipu,52,20,0.4773015873015873,0.5186507936507936,-0.0413492063492063,0.6372222222222221,0.6436507936507937,-0.006428571428571561,0.5443650793650793,0.5265873015873015,0.01777777777777778
"('reason_sent', 'cos_task', 100, 4)",версия агента,v1.x,v2.x,140,45,0.5481087662337663,0.597739898989899,-0.049631132756132734,0.504149531024531,0.4669724025974026,0.03717712842712839,0.5809848484848484,0.5982476551226551,-0.01726280663780666
"('reason_sent', 'cos_task', 100, 4)",версия агента,v2.x,v1.x,160,66,0.604657550052287,0.5346657144025564,0.06999183564973066,0.5291305478147583,0.5383728406096827,-0.00924229279492439,0.6083165664744612,0.5799563010089326,0.02836026546552861
