seg,N,label,n_total,n_excluded_short
reason_sent,50,0,5266,21
reason_sent,50,1,2709,5
reason_sent,100,0,5266,113
reason_sent,100,1,2709,25
reason_sent,200,0,5266,1072
reason_sent,200,1,2709,230
reason_sent,400,0,5266,3091
reason_sent,400,1,2709,1108
all_sent,50,0,5266,2
all_sent,50,1,2709,0
all_sent,100,0,5266,35
all_sent,100,1,2709,13
all_sent,200,0,5266,183
all_sent,200,1,2709,70
all_sent,400,0,5266,1231
all_sent,400,1,2709,371
step,50,0,5266,2816
step,50,1,2709,1050
step,100,0,5266,4934
step,100,1,2709,2210
step,200,0,5266,5258
step,200,1,2709,2614
step,400,0,5266,5266
step,400,1,2709,2709
