seg,N,label,n_total,n_excluded_short
reason_sent,50,0,189,0
reason_sent,50,1,111,0
reason_sent,100,0,189,0
reason_sent,100,1,111,0
reason_sent,200,0,189,0
reason_sent,200,1,111,0
reason_sent,400,0,189,97
reason_sent,400,1,111,39
all_sent,50,0,189,0
all_sent,50,1,111,0
all_sent,100,0,189,0
all_sent,100,1,111,0
all_sent,200,0,189,0
all_sent,200,1,111,0
all_sent,400,0,189,22
all_sent,400,1,111,5
step,50,0,189,90
step,50,1,111,32
step,100,0,189,177
step,100,1,111,89
step,200,0,189,188
step,200,1,111,108
step,400,0,189,189
step,400,1,111,111
