seg,proj,N,d,n_traj,rho_H,rho_C,auroc_chaos_minilm,delta_minilm,auroc_chaos_nomic,delta_nomic
all_sent,cos_step,50,3,300,0.29529919861906634,0.2904564910178761,0.45958560256947345,-0.04550976047156002,0.4644024834814308,-0.022215564571252067
all_sent,cos_step,50,4,300,0.16857946086894834,0.1299229287240815,0.5762094477395836,0.017364268442367048,0.4451042470545866,-0.038922820247098644
all_sent,cos_step,100,3,300,0.24268191418226515,0.24264749102515085,0.5445201346474692,0.03706125651371828,0.47498247083985634,-0.005934080068205616
all_sent,cos_step,100,4,300,0.27291718449809,0.2509123992294135,0.5272122755569275,0.01818091783711473,0.48387585532746824,-0.0005892847955666358
all_sent,cos_step,200,3,300,0.35928357687555285,0.35488371023244597,0.4421729360057034,-0.017436112274822002,0.48895986300061,-0.012907984771312497
all_sent,cos_step,200,4,300,0.3791157679529772,0.3802980033111479,0.5325574383172007,-0.00012158328372247063,0.45403890959069226,-0.036897154910737306
all_sent,cos_step,400,3,273,0.32790581601862334,0.326695513418812,0.45241965312140753,-0.014208027190483363,0.5245214175038736,0.005194182036287187
all_sent,cos_step,400,4,273,0.41300621877049526,0.4121427627760818,0.43496526215824466,-0.023313840155945398,0.5254335982406158,0.001084120557804713
all_sent,cos_task,50,3,300,0.08937535323479558,0.08455534387371284,0.4784913713903527,-0.016008900550496363,0.5214713745507463,-0.0068821614152684285
all_sent,cos_task,50,4,300,0.14261859983211891,0.1551187305484024,0.46740737474184,-0.016227445446460598,0.5451996376571928,0.0025016904431167664
all_sent,cos_task,100,3,300,0.1272997063373085,0.1244529310716976,0.5723258292358462,0.025532066970946565,0.47229711926443674,-0.017929262305323435
all_sent,cos_task,100,4,300,0.21549287323830987,0.21897051653510893,0.49716670709030647,-0.017377057012031627,0.4763683218309704,-0.0293122836416555
all_sent,cos_task,200,3,300,0.1918480954152013,0.19209915956650384,0.4544498710118405,-0.008871868086638868,0.46288292211467086,-0.020415940878589445
all_sent,cos_task,200,4,300,0.2285138977670763,0.23071411904576716,0.431001716167251,-0.026031795030097116,0.46299939732028017,-0.011878817277798603
all_sent,cos_task,400,3,273,0.2485837602941051,0.24861756339937163,0.5676508222122257,0.018566001899335216,0.38765781976308294,-0.029045334133053435
all_sent,cos_task,400,4,273,0.3286199095022624,0.3261887854524179,0.5585724996251311,0.025812965462088222,0.5047498375568551,0.0016709151796870936
all_sent,norm,50,3,300,0.29529919861906634,0.2904564910178761,0.45958560256947345,-0.04550976047156002,0.4644024834814308,-0.022215564571252067
all_sent,norm,50,4,300,0.1686994876153897,0.13003093051211118,0.5762094477395836,0.017364268442367048,0.44400301523603736,-0.038955912508543966
all_sent,norm,100,3,300,0.24049936958326432,0.24043831879360686,0.5445201346474692,0.03706125651371828,0.471809104873621,-0.005958517995869439
all_sent,norm,100,4,300,0.2732074108157281,0.25120773590989587,0.5272122755569275,0.01818091783711473,0.4834199134199134,-0.0004939768776781595
all_sent,norm,200,3,300,0.35929957709422244,0.35516215811108093,0.4405939886372824,-0.01732858539310156,0.49831190880426873,-0.01365214723024566
all_sent,norm,200,4,300,0.3786055400615562,0.3800544450493894,0.5325574383172007,-0.00034885601099521324,0.45539820960024696,-0.03712352729330659
all_sent,norm,400,3,273,0.32786394074354036,0.3266111730884751,0.45246513720197923,-0.014208027190483363,0.5243264857299945,0.0066171839856049575
all_sent,norm,400,4,273,0.412677114641477,0.41135597978663674,0.4362653071425001,-0.02391762882990961,0.5274089068825911,0.002194731843854547
all_sent,pca1,50,3,300,0.1384206371041245,0.13557094463212907,0.5537046979619136,0.04508948323888906,0.49557023056174165,-0.02230457007621689
all_sent,pca1,50,4,300,0.16282523733981938,0.1603049032999638,0.5370990893656429,0.016404243747197955,0.5265932977605303,0.011685904644308742
all_sent,pca1,100,3,300,0.1390417684454617,0.13901105226056182,0.5212397379078194,0.01234403824811292,0.4177724093959238,-0.0397591669790312
all_sent,pca1,100,4,300,0.17142374914152575,0.16812834989907663,0.5213682299590618,-0.0023643786886571316,0.4702501855812552,-0.01562730139130819
all_sent,pca1,200,3,300,0.21795114818359598,0.2163016618001274,0.47969546299767013,-0.0031766366061781737,0.4362225854225005,-0.03791373595278513
all_sent,pca1,200,4,300,0.3000375559728441,0.29457660640673783,0.48753522368972285,-0.01916420449951861,0.48760385200538003,-0.018978531372419227
all_sent,pca1,400,3,273,0.17391747974504443,0.17512706709346204,0.5263702704053582,-0.0066601689408707365,0.47153446293797174,-0.00538161643424806
all_sent,pca1,400,4,273,0.3932310712044503,0.3933283869415256,0.5468785924926276,0.008533013445294113,0.5180431848852901,0.00034787824261506284
reason_sent,cos_step,50,3,300,0.20613492219959312,0.20182515917460556,0.5487825134684218,-0.0025709251133697597,0.5357802129958327,-0.017571770334928072
reason_sent,cos_step,50,4,300,0.2555524417907753,0.23601073751348645,0.5039849624060151,-0.0045189954358035855,0.6049556166809987,0.029704944178628456
reason_sent,cos_step,100,3,300,0.23429394883294621,0.230607526429108,0.5081731546608457,-0.003835597057158968,0.4981592544410881,-0.003968976693934256
reason_sent,cos_step,100,4,300,0.27083969221375,0.26657060630805157,0.5130485671657149,-0.006857080384245151,0.5052584908017845,-1.9972952910118913e-05
reason_sent,cos_step,200,3,300,0.25666483516182226,0.2588785758056082,0.546294144452039,-0.0003003292689200965,0.5284705899646477,0.000638234148420902
reason_sent,cos_step,200,4,300,0.3536475242666634,0.3572439693774375,0.5318360233428145,0.001941584165692789,0.5278380335001728,0.0006412107982566306
reason_sent,cos_step,400,3,164,0.3135572124079083,0.31614179280128385,0.4698172660672661,-0.0057271894771894205,0.47534507159507167,-0.0020716783216783163
reason_sent,cos_step,400,4,164,0.43359949940826786,0.43220382789438594,0.4923322510822511,-0.0013575313575313608,0.46055139305139303,-0.007726440226440201
reason_sent,cos_task,50,3,300,0.13055290501261047,0.1290748978419855,0.5225580446717968,0.006610955541346164,0.4622974316289257,-0.0028456037454338556
reason_sent,cos_task,50,4,300,0.1817886943607554,0.14441911789402515,0.5909523901395717,0.03997723414107124,0.46997500165369444,-0.015054406544219745
reason_sent,cos_task,100,3,300,0.19232066292569974,0.19023658250944672,0.5365497964118509,-0.009974533106961059,0.5130910946721643,-0.004075051999500201
reason_sent,cos_task,100,4,300,0.30590346173873434,0.2825638352105786,0.547244504222433,0.00719939511535439,0.5249307102066016,0.019567632424168924
reason_sent,cos_task,200,3,300,0.2870218598664585,0.28348430558247656,0.5396787974334664,0.0020560198149331965,0.5150554538839768,-0.002658975150486187
reason_sent,cos_task,200,4,300,0.38085712063467364,0.3839629329214768,0.5324531637010413,0.01659383061759967,0.5058626955952932,0.02078875708332406
reason_sent,cos_task,400,3,164,0.3349396262836098,0.33731992980833314,0.45656898656898653,-0.009696692196692114,0.5423579198579199,-0.004371323121323045
reason_sent,cos_task,400,4,164,0.5140179288017085,0.5093276019207486,0.41184829059829065,-0.008866966366966378,0.5470820845820846,-0.005854839604839568
reason_sent,norm,50,3,300,0.2053530559366237,0.20115267091587705,0.5487825134684218,-0.0025709251133697597,0.5372082148185714,-0.01734449760765544
reason_sent,norm,50,4,300,0.25603499763695853,0.23662477410730187,0.5036392116655275,-0.003970538516378852,0.6040810879838893,0.029597417296908013
reason_sent,norm,100,3,300,0.23421236467926382,0.23051419108387938,0.5081731546608457,-0.003835597057158968,0.4993307131465026,-0.004386865256984174
reason_sent,norm,100,4,300,0.27047413182467367,0.2661350457677476,0.5141139138168,-0.006642026620804264,0.5043868285082207,-1.9972952910118913e-05
reason_sent,norm,200,3,300,0.25840685742099584,0.26042748276507827,0.546294144452039,-0.0003003292689200965,0.5300791568363724,-0.0001280694404632854
reason_sent,norm,200,4,300,0.3562239976248644,0.3598431093678819,0.5315134426976532,0.002264164810854119,0.5294947045031935,0.0003308491169272676
reason_sent,norm,400,3,164,0.3146264125074837,0.3168246661473231,0.4698172660672661,-0.0057271894771894205,0.4745514208014209,-0.0020716783216783163
reason_sent,norm,400,4,164,0.43706555303143657,0.4344809761538775,0.49297619047619046,-0.0013575313575313608,0.4627447552447553,-0.008440725940725868
reason_sent,pca1,50,3,300,0.2579948195278752,0.2595237857174848,0.48857353243813345,-0.018085444549790886,0.5328032783571833,0.011895831955254788
reason_sent,pca1,50,4,300,0.28536729549498796,0.2778892366237252,0.5477919505508639,0.014762272249538966,0.4691580307072667,-0.0063952954233088555
reason_sent,pca1,100,3,300,0.27292144161539733,0.2739268316726227,0.574209267670643,0.012281987961105023,0.5124694434032294,-0.005027598321316495
reason_sent,pca1,100,4,300,0.36527563747217834,0.3574643529214204,0.559754555009224,0.0005457191365511038,0.47455322690891455,-0.005016059209607682
reason_sent,pca1,200,3,300,0.4648997902750056,0.46587723444507323,0.5714053462101,0.025446056490199154,0.5034049199244446,-0.007495810640971934
reason_sent,pca1,200,4,300,0.5132947062288927,0.5082117032646731,0.5619468576132413,0.01529930030354476,0.4737577631762691,-0.014738385553326183
reason_sent,pca1,400,3,164,0.4455871010394094,0.44368267338113443,0.6749442224442225,0.033308497058497144,0.5810189810189811,0.01297841047841053
reason_sent,pca1,400,4,164,0.6441581761049066,0.6453089929672302,0.6446499333999334,0.02243936618936626,0.5835471472971473,0.007485847485847574
step,cos_step,50,3,178,0.15164707242685108,0.14312056838645132,0.609949834522203,0.05862998843262002,0.58378454148191,0.09295353769037962
step,cos_step,50,4,178,0.16163566312962752,0.17209221418216325,0.4185985797827903,-0.03824545337703239,0.5406777761711972,0.0025483580746737955
step,cos_step,100,3,34,0.26266330583190023,0.28158899923605807,0.2361111111111111,0.07638888888888887,0.3472222222222222,0.0069444444444444475
step,cos_step,100,4,34,0.2718105423987777,0.280366692131398,0.3194444444444444,0.10416666666666666,0.6041666666666666,0.020833333333333315
step,cos_task,50,3,178,-0.07871272732677607,-0.07629481288671067,0.4374213177173704,-0.005146680804575587,0.46071970792365535,-0.018301121393226705
step,cos_task,50,4,178,-0.018138474848610715,-0.009903017877739577,0.5410834779255833,0.0036083799241692915,0.5491555410963305,0.008516403187455723
step,cos_task,100,3,34,0.09070762647103776,0.09146481267628113,0.6736111111111112,0.04861111111111108,0.2847222222222222,-0.0069444444444444475
step,cos_task,100,4,34,-0.11810542398777693,-0.11871657754010695,0.6874999999999999,0.15277777777777776,0.2638888888888889,-0.06944444444444445
step,norm,50,3,178,0.15164707242685108,0.14312056838645132,0.609949834522203,0.05862998843262002,0.58378454148191,0.09295353769037962
step,norm,50,4,178,0.16163566312962752,0.17209221418216325,0.4185985797827903,-0.03824545337703239,0.5406777761711972,0.0025483580746737955
step,norm,100,3,34,0.26266330583190023,0.28158899923605807,0.2361111111111111,0.07638888888888887,0.3472222222222222,0.0069444444444444475
step,norm,100,4,34,0.2718105423987777,0.280366692131398,0.3194444444444444,0.10416666666666666,0.6041666666666666,0.020833333333333315
step,pca1,50,3,178,0.09934777684691545,0.09822695942293812,0.4814113408521303,-0.0214917903733694,0.48008900456268877,-0.01071051024998404
step,pca1,50,4,178,0.1934856106330035,0.19948665434285273,0.5754414883362252,0.0349639322665638,0.3756137941006362,-0.04925350234560766
step,pca1,100,3,34,0.1784622523018846,0.19422371638141808,0.3888888888888889,-2.7755575615628914e-17,0.2777777777777778,-0.06250000000000003
step,pca1,100,4,34,0.4814362108479755,0.43926661573720394,0.5277777777777778,0.13888888888888887,0.5833333333333334,-0.04861111111111113
